id,description,group,is_super,created_at,updated_at
'1z9Sv2fC1ALXdM80L0QHs9c3HLDoAOO8',Crear Roles,'SEGURIDAD/ROLES',0,2019-10-03,2019-10-03
'G8aCoYYCgE8fAwegn0MvWjxMXhxIIrhy',Seleccionar Permiso,'SEGURIDAD/PERMISOS',0,2019-10-08,2019-10-09
'lJFsnYJCnFcVPVBBUOQrmlv3b6Y2X2ZE',Crear Usuarios,'ADMIN/USUARIOS',0,2019-10-03,2019-10-03
'm0D4LIsO7V79aDueMDjgWGOmp8mPW6c0',Seleccionar Rol,'SEGURIDAD/ROLES',0,2019-10-09,2019-10-09
'n5TraVIrRoioG1kqdHsIaZLYDvxO8MFD',Eliminar Usuarios,'ADMIN/USUARIOS',0,2019-10-03,2019-10-03
'nrPqEhq2TX0mI7qT7glaOCJ7Iqx2QtPs',Ver Roles,'SEGURIDAD/ROLES',0,2019-10-03,2019-10-03
'nTSk4Y4SFKMyQmRD4ku0UCiNWIDe8OEt',Ver Usuarios,'ADMIN/USUARIOS',0,2019-10-03,2019-10-03
'QpKVz00WUbZVJMPFu3iBNGBTdMFYubQ2',Eliminar Roles,'SEGURIDAD/ROLES',0,2019-10-03,2019-10-03
'RGMUpFAiRuv7UFoJroHP6CtvmpoFlQXl',CRUD Permisos,'SEGURIDAD/PERMISOS',1,2019-10-03,2019-10-07
'v216XcAzgbt4mIjj6gZP2rdRTupXz0AO',Editar Roles,'SEGURIDAD/ROLES',0,2019-10-03,2019-10-03
'W8Xmv3hiIyIpkZfJMaL9MsRxxuSIiO5R',Editar Usuarios,'ADMIN/USUARIOS',0,2019-10-03,2019-10-03
